date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:23:24	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Dec%202019%2003:53:16%20GMT	https://www.truefoodkitchen.com/giftcards	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/giftcards	(from https://www.truefoodkitchen.com/)
09:23:25	13865/13865	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2003:53:17%20GMT	https://www.truefoodkitchen.com/trueinsider	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/trueinsider.html	(from https://www.truefoodkitchen.com/)
09:23:37	56552/56552	---M--	200	added ('OK')	image/png	etag:%22dce8-591ba7a912007%22	https://www.truefoodkitchen.com/video/fall-header.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/video/fall-header.png	(from https://www.truefoodkitchen.com/)
09:23:53	92459/92459	---M--	200	added ('OK')	image/jpeg	etag:%221692b-5923522070958%22	https://www.truefoodkitchen.com/images/banner/main/mobile/truefoodkitchen-main-mobile-banner-12.jpg	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/banner/main/mobile/truefoodkitchen-main-mobile-banner-12.jpg	(from https://www.truefoodkitchen.com/)
09:24:19	108654/108654	---M--	200	added ('OK')	image/jpeg	etag:%221a86e-5923521f76955%22	https://www.truefoodkitchen.com/images/banner/main/mobile/truefoodkitchen-main-mobile-banner-10.jpg	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/banner/main/mobile/truefoodkitchen-main-mobile-banner-10.jpg	(from https://www.truefoodkitchen.com/)
09:24:20	237713/237713	---M--	200	added ('OK')	image/jpeg	etag:%223a091-5709431ece676%22	https://www.truefoodkitchen.com/images/banner/main/video/truefoodkitchen-main-video-poster-5.jpg	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/banner/main/video/truefoodkitchen-main-video-poster-5.jpg	(from https://www.truefoodkitchen.com/)
09:24:27	1838/1838	---M--	200	added ('OK')	image/png	etag:%2272e-570947aadb69d%22	https://www.truefoodkitchen.com/images/tabs/truefoodkitchen-tabs-icon-1.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/tabs/truefoodkitchen-tabs-icon-1.png	(from https://www.truefoodkitchen.com/)
09:24:29	1143/1143	---M--	200	added ('OK')	image/png	etag:%22477-570947aaeef1d%22	https://www.truefoodkitchen.com/images/tabs/truefoodkitchen-tabs-icon-2.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/tabs/truefoodkitchen-tabs-icon-2.png	(from https://www.truefoodkitchen.com/)
09:24:30	1237/1237	---M--	200	added ('OK')	image/png	etag:%224d5-570947aa6a21c%22	https://www.truefoodkitchen.com/images/tabs/truefoodkitchen-tabs-icon-3.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/tabs/truefoodkitchen-tabs-icon-3.png	(from https://www.truefoodkitchen.com/)
09:24:33	1186/1186	---M--	200	added ('OK')	image/png	etag:%224a2-570947aafe91e%22	https://www.truefoodkitchen.com/images/tabs/truefoodkitchen-tabs-icon-4.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/tabs/truefoodkitchen-tabs-icon-4.png	(from https://www.truefoodkitchen.com/)
09:24:34	1251/1251	---M--	200	added ('OK')	image/png	etag:%224e3-570947aa6a21c%22	https://www.truefoodkitchen.com/images/tabs/truefoodkitchen-tabs-icon-5.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/tabs/truefoodkitchen-tabs-icon-5.png	(from https://www.truefoodkitchen.com/)
09:24:37	144544/144544	---M--	200	added ('OK')	image/jpeg	etag:%22234a0-592352205c138%22	https://www.truefoodkitchen.com/images/banner/main/mobile/truefoodkitchen-main-mobile-banner-11.jpg	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/banner/main/mobile/truefoodkitchen-main-mobile-banner-11.jpg	(from https://www.truefoodkitchen.com/)
09:24:44	3972/3972	---M--	200	added ('OK')	image/png	etag:%22f84-58dbaac345d0b%22	https://www.truefoodkitchen.com/images/truefoodkitchen-icon_trueinsiders.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/truefoodkitchen-icon_trueinsiders.png	(from https://www.truefoodkitchen.com/)
09:24:45	4158/4158	---M--	200	added ('OK')	image/png	etag:%22103e-58de9a6556c17%22	https://www.truefoodkitchen.com/images/truefoodkitchen-icon_giftcard.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/truefoodkitchen-icon_giftcard.png	(from https://www.truefoodkitchen.com/)
09:24:46	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Dec%202019%2003:54:39%20GMT	https://www.truefoodkitchen.com/giftcards	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/giftcards	(from https://www.truefoodkitchen.com/)
09:25:14	36571/36571	---M-Z	200	added ('OK')	application/javascript	etag:%228edb-56cd3d20d68ff-gzip%22	https://www.truefoodkitchen.com/js/bootstrap.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/bootstrap.min.js	(from https://www.truefoodkitchen.com/)
09:25:15	7199/7199	---M-Z	200	added ('OK')	application/javascript	etag:%221c1f-56cd3d237c471-gzip%22	https://www.truefoodkitchen.com/js/jquery-migrate.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/jquery-migrate.min.js	(from https://www.truefoodkitchen.com/)
09:25:15	51076/51076	---M--	200	added ('OK')	image/jpeg	etag:%22c784-5923a260cbdba%22	https://www.truefoodkitchen.com/popup/popup-unbeetable-bg.jpg	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/popup/popup-unbeetable-bg.jpg	(from https://www.truefoodkitchen.com/)
09:25:17	8447/8447	---M-Z	200	added ('OK')	application/javascript	etag:%2220ff-56cd3d25e860a-gzip%22	https://www.truefoodkitchen.com/js/modernizr-2.7.1.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/modernizr-2.7.1.min.js	(from https://www.truefoodkitchen.com/)
09:25:19	1812/1812	---M-Z	200	added ('OK')	application/javascript	etag:%22714-56cd3d2613585-gzip%22	https://www.truefoodkitchen.com/js/off-cavnass.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/off-cavnass.js	(from https://www.truefoodkitchen.com/)
09:25:19	5580/5580	---M-Z	200	added ('OK')	application/javascript	etag:%2215cc-56cd3d2642380-gzip%22	https://www.truefoodkitchen.com/js/script.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/script.js	(from https://www.truefoodkitchen.com/)
09:25:20	6949/6949	---M-Z	200	added ('OK')	application/javascript	etag:%221b25-56cd3d2269df1-gzip%22	https://www.truefoodkitchen.com/js/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/imagesloaded.pkgd.min.js	(from https://www.truefoodkitchen.com/)
09:25:20	35624/35624	---M-Z	200	added ('OK')	application/javascript	etag:%228b28-56cd3d22778af-gzip%22	https://www.truefoodkitchen.com/js/isotope.pkgd.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/isotope.pkgd.min.js	(from https://www.truefoodkitchen.com/)
09:25:21	33150/33150	---M-Z	200	added ('OK')	application/javascript	etag:%22817e-5900283ca76db-gzip%22	https://www.truefoodkitchen.com/js/tfk-custom.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/tfk-custom.js	(from https://www.truefoodkitchen.com/)
09:25:21	122780/122780	---M--	200	added ('OK')	image/jpeg	etag:%221df9c-5923521e9ec33%22	https://www.truefoodkitchen.com/images/banner/main/mobile/truefoodkitchen-main-mobile-banner-9.jpg	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/banner/main/mobile/truefoodkitchen-main-mobile-banner-9.jpg	(from https://www.truefoodkitchen.com/)
09:25:21	985/985	---M-Z	200	added ('OK')	application/javascript	etag:%223d9-56cd3d2627da3-gzip%22	https://www.truefoodkitchen.com/js/portfolio.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/portfolio.js	(from https://www.truefoodkitchen.com/)
09:25:23	11726/11726	---M-Z	200	added ('OK')	application/javascript	etag:%222dce-56cd3d2478394-gzip%22	https://www.truefoodkitchen.com/js/jquery.touchSwipe.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/jquery.touchSwipe.min.js	(from https://www.truefoodkitchen.com/)
09:25:24	54413/54413	---M-Z	200	added ('OK')	application/javascript	etag:%22d48d-56cd3d23a25cd-gzip%22	https://www.truefoodkitchen.com/js/jquery.carouFredSel-6.2.1.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/jquery.carouFredSel-6.2.1.js	(from https://www.truefoodkitchen.com/)
09:25:25	36059/36059	---M-Z	200	added ('OK')	application/javascript	etag:%228cdb-56cd3d23bfa89-gzip%22	https://www.truefoodkitchen.com/js/jquery.isotope.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/jquery.isotope.min.js	(from https://www.truefoodkitchen.com/)
09:25:31	8110/8110	---M-Z	200	added ('OK')	application/javascript	etag:%221fae-56cd3d25eb4ea-gzip%22	https://www.truefoodkitchen.com/js/modernizr.custom.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/modernizr.custom.js	(from https://www.truefoodkitchen.com/)
09:25:31	21016/21016	---M-Z	200	added ('OK')	application/javascript	etag:%225218-56cd3d23dee86-gzip%22	https://www.truefoodkitchen.com/js/jquery.magnific-popup.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/jquery.magnific-popup.js	(from https://www.truefoodkitchen.com/)
09:25:32	12289/12289	---M-Z	200	added ('OK')	application/javascript	etag:%223001-56cd3d2121c16-gzip%22	https://www.truefoodkitchen.com/js/draggabilly.pkgd.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/draggabilly.pkgd.min.js	(from https://www.truefoodkitchen.com/)
09:25:33	6669/6669	---M-Z	200	added ('OK')	application/javascript	etag:%221a0d-56cd3d21373d4-gzip%22	https://www.truefoodkitchen.com/js/elastiStack.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/elastiStack.js	(from https://www.truefoodkitchen.com/)
09:25:33	3181/3181	---M-Z	200	added ('OK')	application/javascript	etag:%22c6d-56cd3d23f2704-gzip%22	https://www.truefoodkitchen.com/js/jquery.plugin.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/jquery.plugin.min.js	(from https://www.truefoodkitchen.com/)
09:25:34	13975/13975	---M-Z	200	added ('OK')	application/javascript	etag:%223697-56cd3d23b1fcb-gzip%22	https://www.truefoodkitchen.com/js/jquery.countdown.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/jquery.countdown.min.js	(from https://www.truefoodkitchen.com/)
09:25:35	24004/24004	---M-Z	200	added ('OK')	application/javascript	etag:%225dc4-57175a5869808-gzip%22	https://www.truefoodkitchen.com/js/owl.carousel.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/owl.carousel.min.js	(from https://www.truefoodkitchen.com/)
09:25:38	104627/104627	---M-Z	200	added ('OK')	application/javascript	etag:%22198b3-56cd3d2474515-gzip%22	https://www.truefoodkitchen.com/js/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/jquery.themepunch.tools.min.js	(from https://www.truefoodkitchen.com/)
09:25:40	45818/45818	---M-Z	200	added ('OK')	application/javascript	etag:%22b2fa-592d89ef7dbd5-gzip%22	https://www.truefoodkitchen.com/js/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/js/jquery.themepunch.revolution.min.js	(from https://www.truefoodkitchen.com/)
09:25:48	13361/13361	---M-Z	200	added ('OK')	application/javascript	etag:%223431-56cd3d39974cb-gzip%22	https://www.truefoodkitchen.com/super-sidebar/js/jquery.super-sidebar.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/super-sidebar/js/jquery.super-sidebar.min.js	(from https://www.truefoodkitchen.com/)
09:25:49	43940/43940	---M-Z	200	added ('OK')	application/javascript	etag:%22aba4-56cd3d39cdfc4-gzip%22	https://www.truefoodkitchen.com/super-sidebar/js/velocity.min.js	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/super-sidebar/js/velocity.min.js	(from https://www.truefoodkitchen.com/)
09:25:49	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:55:42%20GMT	https://www.truefoodkitchen.com/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/glyphicons-halflings-regular.3d.delayed	(from https://www.truefoodkitchen.com/css/bootstrap.min.css)
09:25:50	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:55:42%20GMT	https://www.truefoodkitchen.com/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/glyphicons-halflings-regulard41d.eot	(from https://www.truefoodkitchen.com/css/bootstrap.min.css)
09:25:51	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:55:43%20GMT	https://www.truefoodkitchen.com/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/glyphicons-halflings-regular.woff2	(from https://www.truefoodkitchen.com/css/bootstrap.min.css)
09:25:52	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:55:44%20GMT	https://www.truefoodkitchen.com/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/glyphicons-halflings-regular.woff	(from https://www.truefoodkitchen.com/css/bootstrap.min.css)
09:25:53	281453/281453	---M--	200	added ('OK')	image/jpeg	etag:%2244b6d-59227824665d3%22	https://www.truefoodkitchen.com/images/callout/truefoodkitchen-callout-banner22.jpg	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/callout/truefoodkitchen-callout-banner22.jpg	(from https://www.truefoodkitchen.com/)
09:25:53	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:55:45%20GMT	https://www.truefoodkitchen.com/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/glyphicons-halflings-regular.ttf	(from https://www.truefoodkitchen.com/css/bootstrap.min.css)
09:25:53	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:55:46%20GMT	https://www.truefoodkitchen.com/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/glyphicons-halflings-regular.svg	(from https://www.truefoodkitchen.com/css/bootstrap.min.css)
09:25:55	12136/12136	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f68-56cd3cc07d3ce-gzip%22	https://www.truefoodkitchen.com/fonts/revicons.eot?5510888	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/revicons90c6.eot	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:25:57	7536/7536	---M--	200	added ('OK')	font/woff	etag:%221d70-56cd3cc07666f%22	https://www.truefoodkitchen.com/fonts/revicons.woff?5510888	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/revicons90c6.woff	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:25:57	11968/11968	---M-Z	200	added ('OK')	font/ttf	etag:%222ec0-56cd3cc069b50-gzip%22	https://www.truefoodkitchen.com/fonts/revicons.ttf?5510888	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/revicons90c6.ttf	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:25:58	13691/13691	---M-Z	200	added ('OK')	image/svg+xml	etag:%22357b-56cd3cc028478-gzip%22	https://www.truefoodkitchen.com/fonts/revicons.svg?5510888	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/revicons90c6.svg	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:26:00	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:55:51%20GMT	https://www.truefoodkitchen.com/css/openhand.cur	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/css/openhand.cur	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:26:03	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:55:53%20GMT	https://www.truefoodkitchen.com/css/closedhand.cur	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/css/closedhand.cur	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:26:04	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:55:56%20GMT	https://www.truefoodkitchen.com/assets/gridtile.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/assets/gridtile.png	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:26:06	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:55:57%20GMT	https://www.truefoodkitchen.com/assets/gridtile_white.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/assets/gridtile_white.png	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:26:07	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:55:59%20GMT	https://www.truefoodkitchen.com/assets/gridtile_3x3.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/assets/gridtile_3x3.png	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:26:08	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:56:00%20GMT	https://www.truefoodkitchen.com/assets/gridtile_3x3_white.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/assets/gridtile_3x3_white.png	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:26:09	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:56:01%20GMT	https://www.truefoodkitchen.com/images/gradient/g30.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/gradient/g30.png	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:26:12	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:56:02%20GMT	https://www.truefoodkitchen.com/images/gradient/g40.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/gradient/g40.png	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:26:13	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:56:05%20GMT	https://www.truefoodkitchen.com/assets/coloredbg.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/assets/coloredbg.png	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:26:15	6904/6904	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2003:56:06%20GMT	https://www.truefoodkitchen.com/assets/loader.gif	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/assets/loader.gif	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:26:19	27028/27028	---M--	200	added ('OK')	font/woff2	etag:%226994-57fac222996bb%22	https://www.truefoodkitchen.com/fonts/brandon-grotesque/BrandonGrotesque-Thin.woff2	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/brandon-grotesque/BrandonGrotesque-Thin.woff2	(from https://www.truefoodkitchen.com/css/tfk-new.css)
09:26:26	39824/39824	---M--	200	added ('OK')	font/woff	etag:%229b90-57fac226ac645%22	https://www.truefoodkitchen.com/fonts/brandon-grotesque/BrandonGrotesque-Thin.woff	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/brandon-grotesque/BrandonGrotesque-Thin.woff	(from https://www.truefoodkitchen.com/css/tfk-new.css)
09:26:29	99516/99516	---M-Z	200	added ('OK')	font/ttf	etag:%22184bc-57fac22503961-gzip%22	https://www.truefoodkitchen.com/fonts/brandon-grotesque/BrandonGrotesque-Thin.ttf	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/brandon-grotesque/BrandonGrotesque-Thin.ttf	(from https://www.truefoodkitchen.com/css/tfk-new.css)
09:26:29	38432/38432	---M--	200	added ('OK')	font/woff	etag:%229620-57fac22804248%22	https://www.truefoodkitchen.com/fonts/brandon-grotesque/BrandonGrotesque-ThinItalic.woff	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/brandon-grotesque/BrandonGrotesque-ThinItalic.woff	(from https://www.truefoodkitchen.com/css/tfk-new.css)
09:26:30	55028/55028	---M--	200	added ('OK')	image/jpeg	etag:%22d6f4-587dc0335489a%22	https://www.truefoodkitchen.com/popup/popup-bg2.jpg	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/popup/popup-bg2.jpg	(from https://www.truefoodkitchen.com/css/tfk-settings.css)
09:26:32	26496/26496	---M--	200	added ('OK')	font/woff2	etag:%226780-57fac2247cd20%22	https://www.truefoodkitchen.com/fonts/brandon-grotesque/BrandonGrotesque-ThinItalic.woff2	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/brandon-grotesque/BrandonGrotesque-ThinItalic.woff2	(from https://www.truefoodkitchen.com/css/tfk-new.css)
09:26:35	28532/28532	---M--	200	added ('OK')	font/woff2	etag:%226f74-57fac2237331d%22	https://www.truefoodkitchen.com/fonts/brandon-grotesque/BrandonGrotesque-Light.woff2	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/fonts/brandon-grotesque/BrandonGrotesque-Light.woff2	(from https://www.truefoodkitchen.com/css/tfk-new.css)
